mol_id,smiles,status,reason,mol_class,needs_review,net_charge,handoff_files
T1_smoke,c1ccncc1,ok,,small_molecule,False,0,ligand.mol2;ligand.frcmod;ligand_gas.prmtop;ligand_gas.rst7;ligand_ref.pdb;leap_solvate.in;ligand.sdf
1,Cc1cc(COc2ccc(C(=O)N[C@@H]3CC4(C[C@@H]3C(=O)NO)OCCO4)cc2)c2ccccc2n1,ok,,small_molecule,False,0,ligand.mol2;ligand.frcmod;ligand_gas.prmtop;ligand_gas.rst7;ligand_ref.pdb;leap_solvate.in;ligand.sdf
SDZ-RAD,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC3[C@H]2C(=O)O[C@@H](CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)CC[C@H](C)/C=C/C=C/C=C/1C)[C@H]3C[C@@H]1CC[C@@H](OCCO)[C@H](OC)C1,ok,,small_molecule,True,0,ligand.mol2;ligand.frcmod;ligand_gas.prmtop;ligand_gas.rst7;ligand_ref.pdb;leap_solvate.in;ligand.sdf
Ac-Trp-Ala-Gly-Gly-Lys-Ala-NH2,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(N)=O,ok,,peptide,False,1,peptide_gas.prmtop;peptide_gas.rst7;peptide_capped.pdb;leap_solvate.in
228-Raffinose,OC[C@H]1OC(OC[C@H]2OC(O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,ok,,small_molecule,True,0,ligand.mol2;ligand.frcmod;ligand_gas.prmtop;ligand_gas.rst7;ligand_ref.pdb;leap_solvate.in;ligand.sdf
Bis(7)-tacrine (B7T),c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,ok,,small_molecule,False,0,ligand.mol2;ligand.frcmod;ligand_gas.prmtop;ligand_gas.rst7;ligand_ref.pdb;leap_solvate.in;ligand.sdf
